x1,y1,z1,x2,y2,z2
9.75E+01,-4.62E+00,1.33E+01,1,721043,723738
9.72E+01,-5.78E+00,1.46E+01,1,721043,726753
9.79E+01,-5.69E+00,1.51E+01,1,721043,728262
9.62E+01,-4.40E+00,1.31E+01,1,721043,729394
9.68E+01,-4.76E+00,1.38E+01,1,721043,731656
9.56E+01,-4.28E+00,1.39E+01,1,721043,733163
9.72E+01,-2.79E+00,1.30E+01,1,721044,721098
9.76E+01,-2.34E+00,1.25E+01,1,721044,721853
9.73E+01,-2.87E+00,1.22E+01,1,721044,723361
9.66E+01,-3.53E+00,1.19E+01,1,721044,724870
9.91E+01,-2.63E+00,1.14E+01,1,721044,726755
9.77E+01,-3.33E+00,1.32E+01,1,721044,728263
9.60E+01,-2.58E+00,1.31E+01,1,721044,730147
9.80E+01,-2.53E+00,1.22E+01,1,721044,731655
9.53E+01,-2.64E+00,1.27E+01,1,721044,733164
9.68E+01,-5.48E+00,1.48E+01,1,721048,734670
9.75E+01,-5.02E+00,1.56E+01,1,721048,736180
9.74E+01,-4.89E+00,1.46E+01,1,721048,737688
9.70E+01,-6.20E+00,1.37E+01,1,721048,739949
9.74E+01,-6.41E+00,1.47E+01,1,721048,741456
9.69E+01,-5.59E+00,1.38E+01,1,721048,743531
9.66E+01,-4.00E+00,1.27E+01,1,721048,745603
9.56E+01,-5.99E+00,1.47E+01,1,721048,747112
9.59E+01,-4.93E+00,1.55E+01,1,721048,747865
9.73E+01,-2.86E+00,1.38E+01,1,721049,735049
9.76E+01,-2.36E+00,1.24E+01,1,721049,736181
9.79E+01,-1.99E+00,1.13E+01,1,721049,737689
9.84E+01,-3.34E+00,1.19E+01,1,721049,739948
9.82E+01,-4.07E+00,1.26E+01,1,721049,741457
9.85E+01,-3.80E+00,1.28E+01,1,721049,742965
9.79E+01,-1.89E+00,1.26E+01,1,721049,744473
9.78E+01,-1.50E+00,1.17E+01,1,721049,745982
9.78E+01,-2.36E+00,1.12E+01,1,721049,747111
9.60E+01,-5.20E+00,1.49E+01,1,721053,748244
9.75E+01,-5.52E+00,1.48E+01,1,721053,749752
9.80E+01,-5.35E+00,1.51E+01,1,721053,751635
9.91E+01,-6.52E+00,1.46E+01,1,721053,752768
9.77E+01,-6.10E+00,1.48E+01,1,721053,753898
9.79E+01,-5.02E+00,1.32E+01,1,721053,755890
9.62E+01,-4.94E+00,1.45E+01,1,721053,757480
9.61E+01,-5.05E+00,1.50E+01,1,721053,758801
9.70E+01,-5.16E+00,1.44E+01,1,721053,760751
9.86E+01,-2.64E+00,1.21E+01,1,721054,748243
9.91E+01,-2.87E+00,1.18E+01,1,721054,749751
9.85E+01,-1.64E+00,1.18E+01,1,721054,752422
9.74E+01,-3.16E+00,1.12E+01,1,721054,753901
9.89E+01,-2.22E+00,1.09E+01,1,721054,755407
9.80E+01,-2.54E+00,1.23E+01,1,721054,757291
9.76E+01,-2.02E+00,1.20E+01,1,721054,758799
9.77E+01,-2.33E+00,1.20E+01,1,721054,760683
9.68E+01,-1.73E+00,1.29E+01,1,721054,761437
9.64E+01,-3.99E+00,1.18E+01,1,721058,761815
9.70E+01,-5.01E+00,1.29E+01,1,721058,763323
9.74E+01,-5.98E+00,1.51E+01,1,721058,765209
9.68E+01,-6.40E+00,1.43E+01,1,721058,766341
9.69E+01,-4.96E+00,1.34E+01,1,721058,768601
9.63E+01,-5.58E+00,1.33E+01,1,721058,770862
9.63E+01,-4.78E+00,1.50E+01,1,721058,772371
9.57E+01,-5.17E+00,1.39E+01,1,721058,773879
9.51E+01,-5.50E+00,1.56E+01,1,721058,775009
9.85E+01,-2.68E+00,1.19E+01,1,721059,761814
9.77E+01,-1.61E+00,1.13E+01,1,721059,763322
9.93E+01,-1.96E+00,1.12E+01,1,721059,764831
9.82E+01,-2.59E+00,1.26E+01,1,721059,766339
9.78E+01,-2.39E+00,1.13E+01,1,721059,767662
9.78E+01,-2.58E+00,1.20E+01,1,721059,768980
9.74E+01,-2.11E+00,1.31E+01,1,721059,770864
9.73E+01,-3.15E+00,1.34E+01,1,721059,773125
9.72E+01,-2.66E+00,1.25E+01,1,721059,774632
9.67E+01,-4.66E+00,1.36E+01,1,721063,775576
9.66E+01,-4.95E+00,1.42E+01,1,721063,777273
9.73E+01,-6.77E+00,1.51E+01,1,721063,778781
9.65E+01,-5.52E+00,1.42E+01,1,721063,779913
9.60E+01,-5.54E+00,1.40E+01,1,721063,781797
9.70E+01,-4.14E+00,1.36E+01,1,721063,785189
9.52E+01,-3.73E+00,1.25E+01,1,721063,786606
9.66E+01,-4.61E+00,1.52E+01,1,721063,787828
9.64E+01,-2.87E+00,1.20E+01,1,721064,775387
9.72E+01,-1.95E+00,1.32E+01,1,721064,776895
9.71E+01,-2.08E+00,1.16E+01,1,721064,778403
9.77E+01,-3.23E+00,1.24E+01,1,721064,779911
9.84E+01,-3.14E+00,1.27E+01,1,721064,781795
9.81E+01,-2.85E+00,1.16E+01,1,721064,783021
9.77E+01,-1.94E+00,1.22E+01,1,721064,784435
9.73E+01,-2.02E+00,1.22E+01,1,721064,787827
9.80E+01,-5.49E+00,1.62E+01,1,805923,813533
9.75E+01,-5.27E+00,1.66E+01,1,805923,813910
9.88E+01,-7.46E+00,1.69E+01,1,805923,814290
9.92E+01,-7.67E+00,1.74E+01,1,805923,814670
9.73E+01,-6.09E+00,1.66E+01,1,805923,815050
9.68E+01,-5.17E+00,1.61E+01,1,805923,815427
9.73E+01,-4.12E+00,1.22E+01,1,805924,828517
9.50E+01,-1.97E+00,1.19E+01,1,805924,830025
9.74E+01,-3.15E+00,1.27E+01,1,805924,831909
9.61E+01,-2.82E+00,1.21E+01,1,805924,833417
9.54E+01,-2.96E+00,1.36E+01,1,805924,834549
9.64E+01,-3.52E+00,1.18E+01,1,805924,835681
9.76E+01,-5.93E+00,1.67E+01,1,805925,827009
9.72E+01,-4.86E+00,1.61E+01,1,805925,828140
9.75E+01,-6.59E+00,1.56E+01,1,805925,829648
9.74E+01,-6.53E+00,1.66E+01,1,805925,831155
9.58E+01,-5.32E+00,1.52E+01,1,805925,832662
9.74E+01,-6.15E+00,1.69E+01,1,805925,834170
9.71E+01,-3.31E+00,1.34E+01,1,805926,827007
9.57E+01,-2.65E+00,1.28E+01,1,805926,829271
9.76E+01,-4.32E+00,1.51E+01,1,805926,831156
9.81E+01,-3.32E+00,1.37E+01,1,805926,832664
9.68E+01,-3.07E+00,1.26E+01,1,805926,834172
9.79E+01,-3.52E+00,1.07E+01,1,805927,827008
9.88E+01,-4.10E+00,1.15E+01,1,805927,828139
9.88E+01,-5.08E+00,1.03E+01,1,805927,829270
1.01E+02,-4.60E+00,1.14E+01,1,805927,831154
9.85E+01,-4.35E+00,1.15E+01,1,805927,832663
9.88E+01,-3.68E+00,1.18E+01,1,805927,834171
9.72E+01,-4.38E+00,1.55E+01,1,805928,815816
9.80E+01,-5.55E+00,1.63E+01,1,805928,816196
1.00E+02,-6.22E+00,1.47E+01,1,805928,816573
9.77E+01,-5.85E+00,1.50E+01,1,805928,816953
9.77E+01,-5.53E+00,1.57E+01,1,805928,817336
9.81E+01,-5.81E+00,1.55E+01,1,805928,817715
9.49E+01,-2.70E+00,1.09E+01,1,805929,837757
9.55E+01,-1.88E+00,1.06E+01,1,805929,839072
9.74E+01,-3.34E+00,1.19E+01,1,805929,840583
9.70E+01,-3.17E+00,1.15E+01,1,805929,842464
9.56E+01,-3.11E+00,1.28E+01,1,805929,843972
9.63E+01,-2.70E+00,1.17E+01,1,805929,845480
9.80E+01,-6.21E+00,1.87E+01,1,805930,835678
9.79E+01,-4.82E+00,1.55E+01,1,805930,837186
9.84E+01,-6.90E+00,1.63E+01,1,805930,837942
9.83E+01,-6.29E+00,1.60E+01,1,805930,839449
9.69E+01,-5.21E+00,1.51E+01,1,805930,840957
9.68E+01,-5.19E+00,1.63E+01,1,805930,842842
9.73E+01,-3.69E+00,1.58E+01,1,805931,835680
9.68E+01,-2.25E+00,1.23E+01,1,805931,837941
9.78E+01,-3.75E+00,1.42E+01,1,805931,839450
